year,AirPort,Traffic
2011,ATL,92389023
2011,ORD,66701241
2011,LAX,61862052
2011,DFW,57832495
2011,DEN,52849132
2011,JFK,47644060
2011,SFO,40927786
2011,CLT,39043708
2011,LAS,40560285
2011,PHX,40591948
2011,IAH,40128953
2011,MIA,38314389
2011,MCO,35356991
2011,EWR,33711372
2011,SEA,32823220
2011,MSP, 33118499
2011,DTW,32406159
2011,PHL,30839175
2011,BOS,28907938
2011,LGA,24122478
2012,ATL,95513828
2012,ORD,66629600
2012,LAX,63688121
2012,DFW,58620160
2012,DEN,53156278
2012,JFK,49291765
2012,SFO,44399885
2012,CLT,41228372
2012,LAS,40799830
2012,PHX,40448932
2012,IAH,39891444
2012,MIA,39467444
2012,MCO,35214430
2012,EWR,34014027
2012,SEA,33223111
2012,MSP,33170960
2012,DTW,32242473
2012,PHL,30252816
2012,BOS,29325617
2012,LGA,25707784
2013,ATL,94431224
2013,ORD, 66777161
2013,LAX,66667619
2013,DFW,60470507
2013,DEN,52556359
2013,JFK,50423765
2013,SFO,44945760
2013,CLT,43457471
2013,LAS,40933037
2013,PHX,40341614
2013,IAH,39799414
2013,MIA,40562948
2013,MCO,34973645
2013,EWR,35016236
2013,SEA,34826741
2013,MSP,33897335
2013,DTW,32389544
2013,PHL,30504112
2013,BOS,30318631
2013,LGA,26722183